[사용 테이블] 층수 차이별 계단 이동 예상 시간 (평균값 기준),,,,,,,
층수 차이,방향,예상 소요시간(초),산출 방식,,,,
+1층,올라가기,16.95,B1→1층 평균,,,,
+2층,올라가기,36,B1→1층 + 1층→2층 평균 누적,,,,
+3층,올라가기,54.53,B1→1층 + 1층→2층 + 2층→3층 평균 누적,,,,
-1층,내려가기,11.23,3층→2층 평균,,,,
-2층,내려가기,23.52,3층→2층 + 2층→1층 평균 누적,,,,
-3층,내려가기,34.62,3층→2층 + 2층→1층 + 1층→B1 평균 누적,,,,
※ 활용법: 건물 입구층 차이만큼의 예상시간을 경로비용에 가산,,,,,,,
,,,,,,,
[원시 데이터] 올라가기 (B1 → 3층),,,,,,,
방향,회차,B1→1층(초),1층→2층(초),2층→3층(초),총시간(초),층당평균(초),비고
올라가기,1,16.45,19.58,18.32,54.35,18.12,
올라가기,2,16.8,19.83,19.75,56.38,18.79,Lap4=0.31초(버튼오차) 무시
올라가기,3,17.61,17.75,17.53,52.89,17.63,
올라가기,평균,16.95,19.05,18.53,54.53,18.18,
,,,,,,,
[원시 데이터] 내려가기 (3층 → B1),,,,,,,
방향,회차,3층→2층(초),2층→1층(초),1층→B1(초),총시간(초),층당평균(초),비고
내려가기,1,11.55,12.72,11.22,35.49,11.83,Lap4=0.50초(버튼오차) 무시
내려가기,2,11.81,12.04,10.79,34.64,11.55,
내려가기,3,10.33,12.11,11.28,33.72,11.24,
내려가기,평균,11.23,12.29,11.1,34.62,11.54,
