[배차간격] 버스 출발 → 다음 버스 출발까지 (초),,,,,,,,
구분,측정자1_간격1,측정자1_간격2,측정자1_간격3,측정자1_간격4,측정자1_간격5,전체 평균(초),,
배차간격(초),318.04,447.19,369.54,391.53,429.17,391.09,,
배차간격(분),5.3,7.45,6.16,6.53,7.15,6.52,,
,,,,,,,,
,,,,,,,,
[정차시간] 버스 도착 → 출발까지 (초),,,,,,,,
버스 번호,1번,2번,3번,4번,5번,6번,평균(초),표준편차(초)
정차시간(초),27.23,18.4,9.63,8.64,16.32,16,16.04,6.73
,,,,,,,,
[기대 대기시간] 알고리즘 적용값,,,,,,,,
항목,값(초),값(분),산출식 및 비고,,,,,
평균 배차간격 E[H],391.09,6.52,5회 실측 평균,,,,,
배차간격 분산 Var[H],2599.55,,표본분산 (n-1),,,,,
배차간격 표준편차,50.99,0.85,,,,,,
단순 기대대기 E[H]/2,195.54,3.26,배차 균등 가정 (Newell 1971),,,,,
보정 기대대기 Osuna-Newell,198.87,3.31,E[H]/2 + Var[H]/(2·E[H])  — 불규칙 배차 보정,,,,,
권장 적용값,198.87,3.31,불규칙 배차이므로 Osuna-Newell 적용 권장,,,,,
